T(K),Rs(Ohmsq)
80.758,2909.15717
80.792,2909.28152
80.823,2910.62549
80.853,2911.7702
80.882,2912.75047
80.913,2914.23943
80.952,2913.73354
80.977,2911.85476
81.009,2917.35822
81.041,2919.66175
81.073,2914.87886
81.105,2921.54007
81.136,2920.81769
81.167,2920.51084
81.199,2921.21324
81.225,2928.20648
81.261,2925.85121
81.295,2924.22142
81.323,2927.13125
81.35,2927.32359
81.382,2924.77128
81.412,2928.00008
81.45,2930.79145
81.477,2927.21949
81.511,2932.53041
81.54,2933.48728
81.573,2934.74821
81.6,2934.41252
81.63,2937.59422
81.66,2936.75663
81.697,2934.28967
81.726,2938.31049
81.757,2940.47287
81.787,2940.7916
81.821,2939.58418
81.85,2942.74177
81.883,2946.32255
81.912,2944.9611
81.941,2945.73781
81.968,2946.54649
82.002,2948.05537
82.031,2947.99333
82.063,2947.98989
82.095,2954.00621
82.121,2951.06343
82.158,2952.15774
82.185,2957.45673
82.216,2952.30787
82.242,2951.30928
82.276,2955.0802
82.309,2955.18589
82.336,2957.47529
82.37,2958.6827
82.396,2958.57574
82.428,2958.9786
82.461,2961.33066
82.491,2964.65287
82.524,2962.188
82.552,2963.15308
82.58,2964.2033
82.612,2966.14465
82.641,2962.69152
82.673,2967.4188
82.706,2971.28993
82.74,2969.42805
82.766,2970.18111
82.795,2969.2886
82.83,2975.07132
82.861,2970.34874
82.893,2972.80526
82.923,2973.2993
82.952,2971.10964
82.987,2972.72977
83.013,2976.96111
83.045,2976.61762
83.079,2979.3831
83.105,2979.75281
83.136,2979.6687
83.167,2980.95238
83.199,2981.92344
83.23,2982.87258
83.26,2983.32112
83.292,2984.06908
83.325,2989.3607
83.349,2990.0402
83.38,2986.96012
83.415,2986.66395
83.446,2989.89533
83.477,2986.4744
83.503,2991.79637
83.536,2992.86568
83.562,2990.95694
83.594,2992.12903
83.626,2993.71702
83.654,2993.69122
83.683,2994.90951
83.715,2997.10314
83.744,2996.77554
83.776,2996.289
83.81,2998.64902
83.835,3003.99933
83.863,3001.41307
83.896,3001.78175
83.928,3002.39192
83.953,3002.80248
83.988,3005.6062
84.016,3003.36953
84.05,3003.94036
84.078,3006.24502
84.109,3006.36299
84.139,3003.35077
84.166,3009.64229
84.198,3011.89404
84.225,3010.21241
84.255,3009.8292
84.29,3012.50324
84.312,3012.19474
84.345,3014.45487
84.376,3014.91824
84.406,3015.11277
84.434,3018.68759
84.462,3016.93367
84.496,3018.06909
84.523,3018.28794
84.555,3019.29038
84.581,3016.22881
84.613,3020.91712
84.639,3022.10303
84.675,3018.60422
84.7,3022.45867
84.729,3023.92801
84.762,3023.61919
84.785,3026.50635
84.817,3027.67934
84.845,3029.81299
84.876,3027.8328
84.901,3028.47125
84.93,3034.33415
84.964,3030.31745
84.991,3030.90889
85.019,3034.68714
85.05,3031.92847
85.085,3028.818
85.115,3033.31246
85.142,3035.0536
85.172,3037.0952
85.2,3035.54485
85.235,3039.83399
85.259,3037.50504
85.294,3038.94734
85.324,3040.29391
85.348,3039.87
85.384,3039.68353
85.409,3041.3303
85.439,3043.20201
85.471,3044.80017
85.501,3044.0587
85.532,3041.33856
85.558,3042.6933
85.588,3046.74786
85.62,3046.94554
85.648,3048.80287
85.675,3050.78666
85.706,3049.72593
85.737,3050.31832
85.766,3051.00914
85.795,3050.74855
85.826,3053.18584
85.858,3053.06834
85.887,3053.35894
85.913,3056.22521
85.942,3059.04644
85.973,3055.94027
86.005,3058.40493
86.032,3057.67681
86.065,3058.79029
86.096,3060.26912
86.123,3060.02783
86.15,3060.85759
86.181,3061.63274
86.211,3062.449
86.237,3063.96981
86.263,3064.46957
86.299,3064.40015
86.329,3064.92429
86.357,3070.11295
86.385,3065.80077
86.414,3068.14065
86.442,3068.2399
86.473,3065.56948
86.504,3067.50084
86.533,3070.96818
86.561,3071.71568
86.589,3072.14056
86.614,3073.86008
86.644,3074.56467
86.676,3075.33809
86.706,3075.82465
86.732,3076.15342
86.764,3077.45853
86.795,3077.59126
86.818,3078.81361
86.847,3080.36409
86.879,3079.985
86.909,3081.29906
86.939,3081.44273
86.963,3081.82666
86.995,3082.80073
87.022,3083.39649
87.051,3087.56368
87.078,3084.23961
87.111,3085.36309
87.139,3085.12108
87.168,3088.5773
87.197,3084.3675
87.22,3088.0524
87.255,3090.77587
87.28,3089.94353
87.31,3090.08185
87.342,3095.98812
87.365,3091.32232
87.395,3092.95338
87.427,3092.31309
87.455,3093.74043
87.481,3093.80048
87.513,3095.78106
87.538,3096.51011
87.568,3097.24676
87.598,3098.35045
87.631,3102.45214
87.658,3098.91605
87.688,3099.79198
87.716,3100.18963
87.745,3100.77588
87.773,3101.10577
87.801,3102.92917
87.831,3101.93804
87.862,3108.06727
87.889,3104.58515
87.921,3104.72893
87.947,3109.97762
87.982,3107.75928
88.013,3107.31758
88.039,3108.47776
88.063,3107.64109
88.098,3109.47863
88.123,3110.37435
88.156,3111.02149
88.184,3111.98346
88.211,3112.25505
88.242,3112.92016
88.273,3110.06284
88.306,3111.6279
88.332,3118.85608
88.359,3112.02706
88.383,3115.3161
88.414,3117.46077
88.446,3116.91644
88.471,3118.80821
88.496,3119.76518
88.532,3120.64924
88.558,3120.79692
88.59,3122.53557
88.617,3121.91935
88.643,3120.80395
88.674,3123.01399
88.703,3123.64713
88.731,3125.84932
88.759,3124.85872
88.791,3125.82412
88.817,3127.9766
88.846,3126.68087
88.87,3128.52625
88.905,3132.64358
88.931,3130.03029
88.957,3129.80737
88.992,3134.86319
89.01,3131.61386
89.041,3129.87305
89.074,3133.47193
89.1,3133.94396
89.128,3134.14784
89.156,3134.39527
89.187,3136.34999
89.213,3136.79311
89.245,3137.40364
89.273,3138.92694
89.298,3141.97544
89.328,3138.36658
89.356,3137.17195
89.375,3141.30393
89.411,3139.72491
89.441,3140.79597
89.466,3142.88289
89.5,3142.52096
89.523,3143.07427
89.55,3142.23781
89.58,3144.52348
89.606,3146.36498
89.635,3146.26413
89.665,3146.54132
89.689,3147.20858
89.721,3152.25938
89.744,3149.46278
89.774,3145.70056
89.803,3151.31379
89.828,3152.85808
89.857,3153.09511
89.884,3152.89763
89.912,3153.99046
89.941,3153.94069
89.963,3155.37568
89.989,3156.36971
90.02,3155.98831
90.055,3157.06007
90.078,3157.27097
90.107,3152.48946
90.134,3158.42739
90.16,3159.62727
90.184,3161.26994
90.217,3159.45132
90.246,3161.50775
90.272,3164.41787
90.301,3161.28611
90.33,3161.31297
90.355,3165.02541
90.383,3162.89425
90.41,3166.41788
90.441,3166.3942
90.466,3165.6441
90.496,3166.3353
90.527,3166.64985
90.554,3168.83357
90.577,3169.06923
90.605,3166.91439
90.638,3166.31626
90.661,3169.66154
90.695,3171.13491
90.721,3173.40336
90.754,3173.81957
90.775,3173.12263
90.796,3172.77973
90.831,3175.07359
90.857,3174.98876
90.888,3175.69643
90.915,3176.00353
90.946,3173.41886
90.972,3177.66239
90.999,3178.98986
91.025,3178.53735
91.059,3179.4543
91.086,3180.51942
91.11,3180.77768
91.139,3182.14737
91.169,3182.60852
91.194,3182.16069
91.227,3183.60974
91.256,3184.63566
91.279,3184.99334
91.315,3186.42473
91.339,3185.785
91.365,3186.76451
91.395,3187.5379
91.428,3187.68408
91.45,3185.37989
91.48,3187.874
91.509,3189.44123
91.539,3190.2605
91.566,3188.07894
91.593,3191.63223
91.629,3190.5436
91.651,3191.9836
91.676,3193.17516
91.706,3195.15604
91.741,3194.65451
91.77,3195.83876
91.792,3196.93253
91.821,3194.08172
91.854,3197.57999
91.879,3197.62489
91.912,3199.3299
91.94,3201.26599
91.966,3202.9891
91.99,3200.94133
92.02,3200.58892
92.052,3202.26627
92.08,3202.15727
92.107,3202.60972
92.137,3200.86735
92.164,3202.48992
92.195,3207.84148
92.218,3206.12087
92.25,3202.44644
92.28,3205.97494
92.301,3207.12305
92.335,3207.77397
92.363,3208.89811
92.391,3208.9571
92.422,3209.91477
92.448,3211.12362
92.476,3211.35531
92.504,3215.03716
92.537,3212.75672
92.562,3213.98218
92.594,3213.44934
92.616,3217.54846
92.646,3215.57073
92.678,3211.71927
92.703,3217.90438
92.73,3217.62455
92.766,3218.23853
92.785,3217.1727
92.815,3219.2799
92.841,3222.89414
92.871,3220.31398
92.9,3220.27889
92.927,3220.33316
92.955,3224.96307
92.986,3222.61169
93.012,3223.35234
93.04,3224.96076
93.066,3223.99013
93.098,3223.43121
93.122,3225.50181
93.146,3227.58542
93.173,3225.87659
93.2,3224.49606
93.233,3228.6135
93.257,3231.67061
93.284,3229.69902
93.309,3229.48306
93.341,3230.33589
93.362,3230.69473
93.392,3228.74438
93.42,3230.7731
93.448,3231.66475
93.477,3232.4652
93.498,3234.09105
93.533,3234.50537
93.554,3234.35055
93.586,3236.2808
93.606,3235.57555
93.642,3239.8586
93.666,3237.04065
93.693,3238.37995
93.722,3237.96012
93.748,3239.15838
93.78,3239.34963
93.801,3240.25293
93.827,3240.39419
93.856,3241.77064
93.884,3242.46303
93.909,3243.51396
93.936,3243.9066
93.962,3243.65818
93.989,3245.76824
94.016,3245.73968
94.041,3245.17172
94.07,3249.66873
94.098,3246.63055
94.13,3244.60904
94.151,3247.92039
94.183,3248.248
94.211,3245.34936
94.233,3249.51713
94.261,3251.31793
94.292,3250.7353
94.316,3251.03602
94.343,3251.88001
94.37,3249.77022
94.391,3251.10879
94.422,3254.89396
94.455,3254.72055
94.48,3258.75385
94.504,3256.55896
94.534,3255.91247
94.557,3257.39137
94.587,3258.55825
94.62,3256.65653
94.641,3259.90551
94.67,3259.29966
94.698,3260.06302
94.721,3261.19425
94.75,3260.14187
94.772,3261.26992
94.797,3263.16248
94.827,3262.8848
94.857,3263.46969
94.883,3262.44572
94.904,3265.88768
94.925,3267.83635
94.955,3266.59011
94.981,3266.33855
95.01,3267.40636
95.04,3267.54467
95.065,3268.65409
95.09,3269.71555
95.112,3269.71075
95.134,3270.34494
95.169,3270.762
95.187,3274.11462
95.222,3272.00458
95.244,3268.94355
95.272,3272.17811
95.296,3276.09026
95.324,3273.51734
95.356,3274.70344
95.373,3275.2357
95.403,3276.31975
95.427,3276.6351
95.453,3277.10333
95.479,3279.00013
95.503,3279.6777
95.533,3275.22934
95.564,3279.53805
95.588,3283.27176
95.615,3279.68566
95.64,3282.20542
95.662,3280.81458
95.696,3281.56872
95.722,3282.73427
95.745,3280.46049
95.77,3283.42572
95.798,3284.82046
95.821,3284.68854
95.849,3284.49955
95.869,3288.67428
95.903,3286.95053
95.929,3284.12348
95.954,3288.17639
95.978,3288.86876
96.009,3288.25705
96.025,3289.71395
96.063,3290.12691
96.09,3289.33878
96.11,3291.0006
96.139,3291.54421
96.16,3291.00771
96.187,3292.92027
96.215,3291.32455
96.238,3293.62668
96.271,3294.08038
96.296,3293.76801
96.318,3294.94731
96.343,3297.42032
96.372,3295.63371
96.391,3293.98874
96.424,3297.43896
96.443,3300.44119
96.471,3298.15543
96.497,3298.58966
96.525,3299.28617
96.552,3298.46469
96.576,3301.2763
96.601,3301.67894
96.634,3300.60804
96.655,3302.98774
96.684,3302.78226
96.702,3303.93918
96.737,3302.08852
96.759,3304.43682
96.788,3305.40539
96.815,3305.45642
96.839,3302.88238
96.868,3305.68349
96.894,3307.39607
96.912,3307.3051
96.941,3307.77785
96.974,3308.96165
96.998,3309.83656
97.019,3307.76629
97.054,3309.99809
97.072,3311.03218
97.103,3310.43286
97.133,3311.35789
97.159,3313.37629
