# Adapted from Miriade.ephemcc.results
# Request:
# targetType: Planet,targetNumber: 4,targetName: Mars,Diameter: 6780.00 km,Orbital period: 6.86980000E+02 d,Time_Scale: UTC,Planetary_Theory: INPOP13C,Coordinates: Ecliptic,frameType: Astrometric J2000,frameCentre: Geocenter
# Nb rows: 900
Target,Date,Longitude (d:m:s),Longitude (decimal),Latitude (d:m:s),Latitude (decimal)
Mars,2015-09-22,147 50 42.0452,147.84501256,+01 14 7.6817,1.23546714
Mars,2015-09-23,148 28 19.7888,148.47216356,+01 14 23.2886,1.23980239
Mars,2015-09-24,149 5 55.8687,149.09885242,+01 14 38.7625,1.24410069
Mars,2015-09-25,149 43 30.3066,149.72508517,+01 14 54.1044,1.24836233
Mars,2015-09-26,150 21 3.1306,150.35086961,+01 15 9.3160,1.25258778
Mars,2015-09-27,150 58 34.3733,150.97621481,+01 15 24.4002,1.25677783
Mars,2015-09-28,151 36 4.0692,151.60113033,+01 15 39.3611,1.26093364
Mars,2015-09-29,152 13 32.2509,152.22562525,+01 15 54.2030,1.26505639
Mars,2015-09-30,152 50 58.9454,152.84970706,+01 16 8.9307,1.26914742
Mars,2015-10-01,153 28 24.1702,153.47338061,+01 16 23.5488,1.27320800
Mars,2015-10-02,154 5 47.9327,154.09664797,+01 16 38.0610,1.27723917
Mars,2015-10-03,154 43 10.2304,154.71950844,+01 16 52.4701,1.28124169
Mars,2015-10-04,155 20 31.0519,155.34195886,+01 17 6.7780,1.28521611
Mars,2015-10-05,155 57 50.3794,155.96399428,+01 17 20.9856,1.28916267
Mars,2015-10-06,156 35 8.1900,156.58560833,+01 17 35.0931,1.29308142
Mars,2015-10-07,157 12 24.4579,157.20679386,+01 17 49.1000,1.29697222
Mars,2015-10-08,157 49 39.1547,157.82754297,+01 18 3.0051,1.30083475
Mars,2015-10-09,158 26 52.2509,158.44784747,+01 18 16.8069,1.30466858
Mars,2015-10-10,159 4 3.7156,159.06769878,+01 18 30.5035,1.30847319
Mars,2015-10-11,159 41 13.5178,159.68708828,+01 18 44.0928,1.31224800
Mars,2015-10-12,160 18 21.6262,160.30600728,+01 18 57.5724,1.31599233
Mars,2015-10-13,160 55 28.0103,160.92444731,+01 19 10.9396,1.31970544
Mars,2015-10-14,161 32 32.6401,161.54240003,+01 19 24.1919,1.32338664
Mars,2015-10-15,162 9 35.4876,162.15985767,+01 19 37.3265,1.32703514
Mars,2015-10-16,162 46 36.5267,162.77681297,+01 19 50.3408,1.33065022
Mars,2015-10-17,163 23 35.7341,163.39325947,+01 20 3.2324,1.33423122
Mars,2015-10-18,164 0 33.0898,164.00919161,+01 20 15.9993,1.33777758
Mars,2015-10-19,164 37 28.5778,164.62460494,+01 20 28.6395,1.34128875
Mars,2015-10-20,165 14 22.1867,165.23949631,+01 20 41.1517,1.34476436
Mars,2015-10-21,165 51 13.9103,165.85386397,+01 20 53.5352,1.34820422
Mars,2015-10-22,166 28 3.7485,166.46770792,+01 21 5.7900,1.35160833
Mars,2015-10-23,167 4 51.7078,167.08102994,+01 21 17.9168,1.35497689
Mars,2015-10-24,167 41 37.8009,167.69383358,+01 21 29.9174,1.35831039
Mars,2015-10-25,168 18 22.0465,168.30612403,+01 21 41.7944,1.36160956
Mars,2015-10-26,168 55 4.4668,168.91790744,+01 21 53.5512,1.36487533
Mars,2015-10-27,169 31 45.0842,169.52919006,+01 22 5.1919,1.36810886
Mars,2015-10-28,170 8 23.9172,170.13997700,+01 22 16.7207,1.37131131
Mars,2015-10-29,170 45 0.9770,170.75027139,+01 22 28.1413,1.37448369
Mars,2015-10-30,171 21 36.2643,171.36007342,+01 22 39.4568,1.37762689
Mars,2015-10-31,171 58 9.7688,171.96938022,+01 22 50.6693,1.38074147
Mars,2015-11-01,172 34 41.4701,172.57818614,+01 23 1.7796,1.38382767
Mars,2015-11-02,173 11 11.3395,173.18648319,+01 23 12.7878,1.38688550
Mars,2015-11-03,173 47 39.3414,173.79426150,+01 23 23.6928,1.38991467
Mars,2015-11-04,174 24 5.4363,174.40151008,+01 23 34.4932,1.39291478
Mars,2015-11-05,175 0 29.5808,175.00821689,+01 23 45.1868,1.39588522
Mars,2015-11-06,175 36 51.7294,175.61436928,+01 23 55.7711,1.39882531
Mars,2015-11-07,176 13 11.8350,176.21995417,+01 24 6.2433,1.40173425
Mars,2015-11-08,176 49 29.8487,176.82495797,+01 24 16.6003,1.40461119
